cql,my,blacklab,speed
[word='半拍'],8,7.636363636,FALSE
[word='回去'],8.5,8.636363636,TRUE
[word='声称'],7.666666667,7.272727273,FALSE
[word='关切'],11.5,9.454545455,FALSE
[word='第四'],16.54545455,11.18181818,FALSE
[word='通道'],15,11.63636364,FALSE
[word='新加坡'],14.88888889,11.81818182,FALSE
[word='否定'],11.5,8.818181818,FALSE
[word='树林'],7.75,7.818181818,TRUE
[word='外媒'],7.5,7.454545455,FALSE
[word='驻地'],7.75,8.181818182,TRUE
[word='畅通'],10.75,9.272727273,FALSE
[word='土壤'],15,10.18181818,FALSE
[word='泰国'],12.6,10.54545455,FALSE
[word='下午'],15.09090909,10.72727273,FALSE
[word='董事长'],15,10.63636364,FALSE
[word='流转'],15,10.54545455,FALSE
[word='体量'],10,8.181818182,FALSE
[word='总额'],13.875,9.545454545,FALSE
[word='自行车'],8.125,8.818181818,TRUE
[word='及时性'],9.5,8.272727273,FALSE
[word='公约'],9.375,9,FALSE
[word='内涵'],15.36363636,12.18181818,FALSE
[word='享有'],11.875,9.818181818,FALSE
[word='专利'],12.71428571,9.545454545,FALSE
[word='穿上'],9.25,8,FALSE
[word='化解'],14.72727273,10.72727273,FALSE
[word='江苏省'],10.75,9.272727273,FALSE
[word='确实'],11.90909091,10.54545455,FALSE
[word='农民工'],15,10.90909091,FALSE
[word='分配'],15,10.18181818,FALSE
[word='沿线'],15,10.81818182,FALSE
[word='支流'],7.5,8.181818182,TRUE
[word='策略'],9.714285714,8.636363636,FALSE
[word='老板'],11,8.272727273,FALSE
[word='证券'],15.4,10.36363636,FALSE
[word='第五'],15,10.27272727,FALSE
[word='企业家'],12.85714286,8.818181818,FALSE
[word='枫木湾'],2,2.727272727,TRUE
[word='兴军'],9.2,8.272727273,FALSE
[word='按说'],7.5,7.727272727,TRUE
[word='主打'],8,8.090909091,TRUE
[word='境内'],10,10.09090909,TRUE
[word='停车位'],10,7.909090909,FALSE
[word='车道'],9,7.727272727,FALSE
[word='洗浴'],7.5,7.818181818,TRUE
[word='连平'],7.5,7.818181818,TRUE
[word='沉吟'],9,8.272727273,FALSE
[word='软弱'],2.6,8,TRUE
[word='责任制'],7.272727273,8.545454545,TRUE
[word='孔目'],1.6,3.818181818,TRUE
[word='明辨'&pos='VV'],2.545454545,2.727272727,TRUE
[word='呐喊'],9,7.545454545,FALSE
[word='围墙'],10,8,FALSE
[word='全程'],15,10.45454545,FALSE
[word='窘境'],7.25,7.545454545,TRUE
[word='回到'],13.09090909,12.09090909,FALSE
[word='呼吁'],15,10.09090909,FALSE
[word='店主'],7,8.363636364,TRUE
[word='立体'],9,8.090909091,FALSE
[word='避免'],20.18181818,13.54545455,FALSE
[word='攻击'],12.8,8.727272727,FALSE
[word='以外'],11.66666667,8.636363636,FALSE
[word='待遇'],12.18181818,10.27272727,FALSE
[word='信号'],10.5,8.909090909,FALSE
[word='稳步'],14.57142857,10,FALSE
[word='线索'],15,10.36363636,FALSE
[word='指挥'],11.81818182,11,FALSE
[word='家里'],12.22222222,10.09090909,FALSE
[word='广佛肇'],1.636363636,5.727272727,TRUE
[word='支出'],15,10.27272727,FALSE
[word='清洁'],15,11.18181818,FALSE
[word='供电'],15,10.09090909,FALSE
[word='娱乐'],15,10.36363636,FALSE
[word='当年'],16.45454545,12.18181818,FALSE
[word='手持'],5.8,8.272727273,TRUE
[word='抓住'],15,12.09090909,FALSE
[word='互动'&pos='NN'],14.72727273,15.5,TRUE
[word='反四'],17.27272727,15.6,FALSE
[word='会长'],15,15.57142857,TRUE
[word='回击'],15,15.6,TRUE
[word='煤炭'],15,15.57142857,TRUE
[word='十二'],15,17.83333333,TRUE
[word='先天性'],15,15.6,TRUE
[word='书写'],15,15.66666667,TRUE
[word='高效'],15,17.28571429,TRUE
[word='学者'],19.36363636,15.71428571,FALSE
[word='评估'&pos='NN'],17.90909091,15.5,FALSE
[word='三十四'&pos='CD'],15,15.5,TRUE
[word='刘昆'],15,15.6,TRUE
[word='寻找'],14.27272727,18.16666667,TRUE
[word='审理'],15,16.71428571,TRUE
[word='家破人亡'],15,15.6,TRUE
[word='日军'],15,15.71428571,TRUE
[word='物质'],16.45454545,17.85714286,TRUE
[word='说明'],16.45454545,16.25,FALSE
